,ground_truth,prediction
0,13.6791116022,9.642426
1,3.9332239081,12.253166
2,3.2905479611,14.11396
3,8.8428112257,8.593126
4,4.4325063513,13.430229
5,13.035578754300001,9.558568
6,2.4774290291,8.598485
7,2.7457843602999996,9.633389
8,2.3230897887,10.561148
9,11.895802721099999,10.295671
10,16.462849087000002,10.274258
11,0.0497243445,7.304822
12,18.9742923554,11.769803
13,17.6381552118,5.1866326
14,7.697273484099999,7.039024
15,4.9902197108,-0.69335634
16,20.1004137353,17.417149
17,16.721797226099998,7.3476925
18,16.3880555937,8.603935
19,17.5470785652,4.4318037
20,16.9360013477,8.105038
21,12.7059498499,5.614935
22,-73.1384016545,12.8519
23,21.2679035017,7.077643
24,4.2458790789,5.9811935
25,12.0285902424,7.673341
26,5.514510747899999,6.2548223
27,106.007192378,89.59789
28,7.9318775251,10.234554
29,11.757424822699999,14.588184
30,7.0759828056,12.736216
31,32.336231656,21.20791
32,16.2953130836,18.337608
33,12.762759503800002,14.250805
34,20.6278648172,13.652018
35,8.763442761,22.896915
36,24.5517899509,10.171417
37,15.7050804162,13.168964
38,2.5493305703,10.192379
39,4.9157412874,17.903597
40,11.8105759879,12.863999
41,11.1882098652,21.831995
42,6.8775912152,6.509276
43,17.4363297943,12.873339
44,15.859894622899999,8.877666
45,10.3041819135,8.647961
46,21.7378102867,5.2833543
47,5.0187908405,10.194826
48,8.1541053655,7.6751633
49,23.658279230300003,18.662968
50,9.562591922100001,6.2094584
51,23.2541342238,17.649776
52,27.3312274488,9.21871
53,28.1921047119,16.73233
54,8.5169054379,4.562454
55,28.7151483289,16.083466
56,12.1373778076,8.075018
57,12.4165920546,3.4758978
58,24.178581994,9.856264
59,12.1256517911,12.375916
60,29.6719018896,17.144796
61,10.3250317023,9.924223
62,15.4587203955,19.134182
63,8.0044216366,12.953667
64,1.3946229303,9.468775
65,-4.8831832358,8.6861925
66,9.641087937,16.379196
67,1.5419917397999998,3.557808
68,-17.1720236244,3.5510724
69,3.6021401132,8.248476
70,-51.2198803715,-10.061049
71,-1.9575887316999998,7.1362286
72,1.3440625253999998,6.0960717
73,1.0669122944,1.1742752
74,9.0264111901,10.486477
75,-3.2639424966000004,2.5647235
76,-7.600734918500001,1.5808643
77,-7.794220194099999,-0.77595425
78,-0.2963538419,3.8937159
79,-2.5546775303,4.6617055
80,12.818050378499999,19.065552
81,0.6173088853,-2.152295
82,-0.0172287476,13.396594
83,-0.9447617693000001,1.1051098
84,-2.3211651128,7.250698
85,-1.4086040537,-2.4093447
86,1.2940699051,5.4565434
87,0.0625902461,4.9616976
88,-85.5323370086,-16.499817
89,6.120087825900001,-3.7534165
90,1.0604569664,5.15546
91,-9.269693283099999,9.716646
92,-32.47762672,-0.78176856
93,6.9779629489,12.291389
94,3.1007864893,10.166533
95,16.1811406649,16.983067
96,-0.642974741,5.049773
97,23.6353128218,18.945307
98,11.6244475823,14.130704
99,2.5611823623,10.299923
100,-4.058734724100001,11.179659
101,13.3070317412,13.202398
102,7.5623518449,12.47209
103,14.6529597225,10.192551
104,14.1313265841,15.708168
105,5.6457415135,6.1960325
106,11.4775356674,13.11396
107,5.7735801738,9.86957
108,-3.4190334601,6.0156355
109,-1.1293194678,7.186704
110,-0.6579135472,6.3163037
111,16.048738448800002,13.15665
112,-3.7588275894,1.5451863
113,3.1183919257,9.022366
114,10.087352387000001,8.988
115,-2.161574901,12.650532
116,13.7514159942,12.930054
117,16.1911336226,19.243168
118,-7.6628195772000005,4.6317186
119,26.3397184904,21.687613
120,7.514099443099999,1.8547552
121,19.6340663344,16.793957
122,7.5106078021,11.988225
123,6.080419515599999,14.963867
124,5.7150175915,13.668972
125,4.6490619262,7.5656943
126,-3.3861477696,9.1583185
127,11.3098076618,10.152516
128,3.2379701661,3.894948
129,2.4748805738999997,7.0849075
130,-6.469664092,11.629782
131,3.9951033579,9.608896
132,9.4092711387,15.35957
133,11.6717454817,6.15508
134,11.7879102757,9.51197
135,1.5258243687000002,4.005077
136,3.9596669116000003,6.665302
137,5.6704187490999995,7.097327
138,2.5090094456,1.3140924
139,10.1818989627,3.6729429
140,-17.0696513722,4.965256
141,7.5476646125,6.376005
142,10.0685293578,9.546997
143,-9.075561375,3.6526268
144,-5.7130638779,11.940881
145,-6.6911301584,6.365626
146,13.816361900999999,12.630009
147,-11.4257582911,2.114549
148,7.650514826,12.279858
149,17.1235454095,8.813987
150,7.6667355024,3.4532602
151,1.8205549169,1.8734365
152,4.171316344,9.87879
153,0.32774965,12.513908
154,14.9688599574,3.5142756
155,-6.295088842999999,18.571758
156,4.7905989467,12.121664
157,-23.3265933204,10.852896
158,-2.7044142652999996,5.712697
159,0.08557831390000001,13.547175
160,9.479898135,6.5944095
161,17.4160891211,6.407917
162,1.5923937068,8.979276
163,-11.576560280299999,-0.15513247
164,-16.902331221300003,3.1878662
165,34.403815675,14.759602
166,20.4751536743,2.5297503
167,0.7561512639,9.194882
168,-12.136899241400002,-3.2527595
169,37.5940109457,1.5007653
170,7.3837913848,-6.5355315
171,6.3186633134,4.5928335
172,-26.7657692606,-1.316586
173,6.4171437395,15.390301
174,-2.3067858622,-5.5154276
175,8.3267608354,14.626369
176,9.2056138773,-0.088697076
177,9.284112586900001,8.38666
178,-13.904813495,-3.348224
179,-2.4196845654,11.139175
180,-2.606203184,6.118735
181,19.053671007000002,-9.700744
182,-11.069716674,-2.071437
183,-13.513874525,6.5829344
184,9.0452549701,13.050827
185,-0.3055330878,-2.4935102
186,-2.7797634582,2.9326663
187,-2.5986526115,2.8264828
188,-10.0421377916,5.8121924
189,-21.2515072311,-6.561993
190,12.776364653699998,24.041334
191,-0.8957326133,10.006702
192,-5.342947201,-1.4619199
193,-2.0976167099,5.9012933
194,-12.5492312719,0.30276328
195,1.9148648841999998,5.9818816
196,-7.465815843200001,5.2386556
197,-9.0326898114,16.144142
198,0.3717760651,1.724683
199,-7.7411165151,6.56664
200,-2.9583699089,15.59206
201,-2.3698333654,-6.9577594
202,-17.6328025657,2.7619765
203,-0.5152842693,-1.9761784
204,-0.21030865370000001,8.415533
205,-12.781994428900001,-6.5289507
206,-8.7008448807,3.3887215
207,-9.272506953099999,-5.8687725
208,-12.448795695,6.8664265
209,-2.0295021121,6.8685675
210,-3.8136005986000003,12.017692
211,-9.9818561934,1.6699482
212,4.3302404097,16.377825
213,-5.9804422418,-4.2448053
214,-16.4207275123,7.0491595
215,-4.8279238399,8.2752905
216,11.3977278868,15.963657
217,15.352585120999999,26.358528
218,40.284810321799995,48.610294
219,4.7288859776,17.766111
220,27.526456625700003,29.064978
221,7.183678229600001,17.56437
222,5.496575956699999,12.031749
223,4.852935588399999,2.6143656
224,-20.0758746635,0.514983
225,-15.5912574577,-27.2514
226,4.9378836162,19.902884
227,8.0504219199,12.500917
228,28.2750344092,29.274303
229,13.654204659300001,16.239342
230,25.048611509,26.7564
231,-46.3672179349,-31.663177
232,1.8208274816999999,-3.925514
233,4.251314692699999,7.896456
234,21.6849725787,33.304935
235,-0.9232922999,12.992584
236,4.0877463155000004,4.806701
237,-11.547001462999999,14.275036
238,2.4311347935,9.4472
239,-27.18860154,-15.170735
240,4.724399583299999,6.493698
241,0.3358067188,6.834721
242,13.2083184009,25.440643
243,18.1677754607,21.05478
244,-14.326651762000001,4.81821
245,10.3564870467,9.089494
246,6.7525790552,17.285423
247,-15.687141125799998,-4.1103168
248,-5.0183519054,0.972533
249,5.3456808814,3.4266946
250,6.293948225299999,5.2637405
251,9.756511271299999,0.67635906
252,31.4801692902,24.806778
253,2.8259530604000003,6.38187
254,-10.7757685161,-5.942423
255,-2.1283200978,5.3586216
256,-3.9502019018,-4.0686264
257,6.1587037291,8.095436
258,16.4381417585,11.035425
259,-1.5576491958,9.795267
260,4.53943087,2.9081316
261,-3.2275192948,6.94708
262,-1.3471402636,16.580261
263,2.227162334,0.59665406
264,2.6464045429,2.540842
265,9.4093649787,2.6971579
266,3.7801746472000004,15.627193
267,9.1219130241,-6.256486
268,4.6554840759,5.797105
269,-13.3775862125,-8.850008
270,27.619921493000003,7.898762
271,5.2440783182,9.399858
272,18.6252506872,14.997887
273,2.5843505165000002,2.0393655
274,10.1360710728,1.6106334
275,-42.160762029299995,-10.073549
276,9.8456617767,6.079038
277,14.956160923399999,3.8391697
278,10.211649979199999,13.691799
279,-12.4407141801,-9.238231
280,5.6599348021,2.5194602
281,10.964686779900001,-0.86728084
282,-30.7940974817,-12.738378
283,21.1187293732,41.751076
284,13.7744314854,6.658783
285,-3.7401074063,-3.7584088
286,3.3455279745,3.2623332
287,-7.2297927664,1.5882797
288,14.4365823542,9.00754
289,4.8801871685,23.192234
290,15.1478223635,12.488874
291,1.5869796044,2.5285628
292,14.952312395,9.026833
293,4.9835866355,26.884674
294,3.3725894083999997,-18.652256
295,6.1190343511,1.540457
296,2.1084578211,0.16725951
297,0.7483579046,8.023657
298,3.6288387381000002,-5.8431687
299,10.7460812801,4.7512503
300,-11.631194004700001,-10.898075
301,14.532812058800001,10.050884
302,9.3339710429,17.439898
303,9.3807359588,22.088524
304,8.6578608775,2.3181796
305,2.5465486731,10.312777
306,-2.0572465009,-8.798779
307,12.2272081112,7.573034
308,6.495242191900001,9.539028
309,5.571742765700001,12.374253
310,10.0811285083,8.6123295
311,0.5067832205,8.613325
312,0.7977767213,2.2114546
313,-4.1643508612,3.3347917
314,-8.4546910618,17.041481
315,-11.1113185883,2.7911923
316,-10.6757342169,4.358506
317,-7.1205905865,6.487563
318,1.8223588715,7.413129
319,11.2533165018,9.018108
320,-7.2612828564,3.0659208
321,-5.7729301036,3.5528715
322,-5.739644362000001,8.155268
323,-16.1820269027,5.2670174
324,-8.819110719600001,0.6473322
325,-0.6339041499,-12.49539
326,5.995285029700001,8.15884
327,-9.4534476972,3.303832
328,3.0903783620999996,7.5056086
329,-12.9239441002,-0.5591369
330,-2.9953791417,9.027032
331,-4.9323951393000005,0.37898833
332,-18.0519715014,6.8023896
333,-12.614714879500001,-2.5733452
334,-28.3192969289,2.8529658
335,0.5054897604,6.336318
336,-17.8442018209,3.7152808
337,8.724394109,5.384696
338,-7.8565846149,7.0362377
339,-3.6518864110000004,13.24072
340,-0.13680700140000002,4.089489
341,4.5642394164999995,-10.415157
342,1.0447966418999999,-0.7703732
343,12.8545939377,-19.625793
344,-11.1128012421,-18.231558
345,-6.2814972851999995,15.41358
346,1.520443662,0.18404216
347,14.0525607846,-2.5441532
348,-5.2901855003,-9.7974415
349,0.6472464552,5.316503
350,24.5682832335,2.274102
351,-7.1405469934,-1.3691175
352,9.89044371,1.3937907
353,9.6066988797,1.8959203
354,8.3008877347,-2.5974536
355,4.3597042336000005,-7.4498897
356,-2.4292770985,-30.764627
357,13.4051107423,-5.3474083
358,-6.1274816739,-5.2232294
359,2.8293013987999998,-4.84344
360,-0.0363220976,-6.683048
361,-2.8816615442,-8.214436
362,-3.2953851024,-7.8725734
363,-0.17654330199999999,-1.5206399
364,13.763537321500001,-9.107094
365,22.255819306,-2.1816058
366,-2.4149261315,-3.8910494
367,3.1061793411000003,4.6911545
368,22.846651690300003,8.591959
369,2.2653664093,0.3678177
370,18.616395827799998,11.621106
371,9.802360564299999,-1.0085523
372,14.2345543965,13.109153
373,36.954592011799996,12.33877
374,33.428784156199995,13.00322
375,3.6075318723,5.7266083
376,20.8069962844,23.87579
377,24.114822360599998,13.091696
378,19.732243171900002,9.70149
379,35.5287120123,12.153107
380,11.9553383751,14.783055
381,33.4028382303,13.453709
382,20.1667901756,13.96748
383,17.7250798127,17.959984
384,23.5756500761,6.551288
385,4.9447607433,11.171129
386,41.6002633197,14.919287
387,53.2860015363,5.0018954
388,67.7815276037,8.062501
389,9.5345773109,5.888092
390,18.114472048499998,13.787083
391,-17.326445359,2.522768
392,23.1858688959,11.330933
393,48.3924172385,9.529785
394,14.1530023215,14.975053
395,27.9389079696,13.415681
396,21.1754798764,18.093193
397,18.9098645603,4.991747
398,44.011832222799995,21.25402
399,11.123118549800001,2.2753706
400,22.4028997938,14.564333
401,42.3091666131,14.75197
402,52.344675251999995,22.74146
403,-12.1550362495,-2.0178807
404,3.8151089895999997,-1.1626537
405,-3.8426771638,-6.480266
406,2.1840619368,-0.59603727
407,40.7684090339,6.3352656
408,8.137589783400001,6.7993703
409,-7.3829168039,0.718421
410,-0.5385658177,2.899499
411,6.0635993224,8.52392
