entrez,symbol
2,A2M
131076,CCDC58
9,NAT1
12,SERPINA3
16,AARS1
18,ABAT
19,ABCA1
20,ABCA2
21,ABCA3
22,ABCB7
24,ABCA4
25,ABL1
27,ABL2
29,ABR
30,ACAA1
31,ACACA
32,ACACB
33,ACADL
34,ACADM
35,ACADS
36,ACADSB
37,ACADVL
38,ACAT1
39,ACAT2
43,ACHE
47,ACLY
48,ACO1
50,ACO2
51,ACOX1
52,ACP1
53,ACP2
54,ACP5
56,ACRV1
442425,FOXB2
58,ACTA1
59,ACTA2
60,ACTB
70,ACTC1
71,ACTG1
72,ACTG2
442444,FAM47C
81,ACTN4
87,ACTN1
88,ACTN2
89,ACTN3
90,ACVR1
91,ACVR1B
92,ACVR2A
93,ACVR2B
94,ACVRL1
114780,PKD1L2
114784,CSMD2
114787,GPRIN1
100,ADA
101,ADAM8
102,ADAM10
103,ADAR
114788,CSMD3
114790,STK11IP
114791,TUBGCP5
107,ADCY1
108,ADCY2
114795,TMEM132B
112,ADCY6
114,ADCY8
115,ADCY9
116,ADCYAP1
114805,GALNT13
118,ADD1
119,ADD2
120,ADD3
123,PLIN2
125,ADH1B
126,ADH1C
127,ADH4
128,ADH5
114815,SORCS1
131,ADH7
133,ADM
196743,PAOX
136,ADORA2B
114825,PWWP2A
142,PARP1
143,PARP4
147,ADRA1B
148,ADRA1A
151,ADRA2B
152,ADRA2C
156,GRK2
158,ADSL
163,AP2B1
164,AP1G1
165,AEBP1
173,AFM
176,ACAN
177,AGER
178,AGL
182,JAG1
186,AGTR2
187,APLNR
189,AGXT
190,NR0B1
191,AHCY
196,AHR
202,CRYBG1
203,AK1
204,AK2
205,AK4
207,AKT1
208,AKT2
210,ALAD
211,ALAS1
212,ALAS2
213,ALB
214,ALCAM
215,ABCD1
216,ALDH1A1
217,ALDH2
218,ALDH3A1
114907,FBXO32
220,ALDH1A3
221,ALDH3B1
223,ALDH9A1
224,ALDH3A2
225,ABCD2
226,ALDOA
229,ALDOB
230,ALDOC
238,ALK
239,ALOX12
242,ALOX12B
246,ALOX15
247,ALOX15B
258,AMBN
262,AMD1
267,AMFR
268,AMH
272,AMPD3
273,AMPH
274,BIN1
280,AMY2B
283,ANG
284,ANGPT1
286,ANK1
287,ANK2
288,ANK3
290,ANPEP
291,SLC25A4
292,SLC25A5
293,SLC25A6
301,ANXA1
302,ANXA2
307,ANXA4
308,ANXA5
312,ANXA13
316,AOX1
317,APAF1
322,APBB1
323,APBB2
324,APC
328,APEX1
329,BIRC2
330,BIRC3
331,XIAP
332,BIRC5
333,APLP1
334,APLP2
335,APOA1
337,APOA4
338,APOB
341,APOC1
344,APOC2
345,APOC3
347,APOD
348,APOE
350,APOH
351,APP
353,APRT
354,KLK3
355,FAS
356,FASLG
357,SHROOM2
360,AQP3
364,AQP7
366,AQP9
367,AR
369,ARAF
372,ARCN1
373,TRIM23
374,AREG
375,ARF1
378,ARF4
382,ARF6
383,ARG1
384,ARG2
147841,SPC24
387,RHOA
388,RHOB
390,RND3
391,RHOG
393,ARHGAP4
394,ARHGAP5
396,ARHGDIA
398,ARHGDIG
399,RHOH
403,ARL3
405,ARNT
408,ARRB1
409,ARRB2
412,STS
197021,LCTL
414,ARSD
419,ART3
429,ASCL1
435,ASL
440,ASNS
445,ASS1
65986,ZBTB10
65989,DLK2
460,ASTN1
462,SERPINC1
463,ZFHX3
466,ATF1
467,ATF3
468,ATF4
471,ATIC
66008,TRAK2
472,ATM
475,ATOX1
476,ATP1A1
478,ATP1A3
481,ATP1B1
483,ATP1B3
487,ATP2A1
488,ATP2A2
490,ATP2B1
492,ATP2B3
493,ATP2B4
131566,DCBLD2
495,ATP4A
498,ATP5F1A
501,ALDH7A1
131578,LRRC15
506,ATP5F1B
509,ATP5F1C
513,ATP5F1D
514,ATP5F1E
515,ATP5PB
516,ATP5MC1
517,ATP5MC2
518,ATP5MC3
115201,ATG4A
521,ATP5ME
522,ATP5PF
197131,UBR1
115209,OMA1
525,ATP6V1B1
526,ATP6V1B2
527,ATP6V0C
528,ATP6V1C1
529,ATP6V1E1
533,ATP6V0B
535,ATP6V0A1
147991,DPY19L3
537,ATP6AP1
538,ATP7A
539,ATP5PO
545,ATR
546,ATRX
547,KIF1A
549,AUH
552,AVPR1A
164395,TTLL9
558,AXL
563,AZGP1
567,B2M
571,BACH1
