,cell_line,drug,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,pIC50,Hill,sigma,mean
0,A2058,5-FU,0.0701250000000001,0.06062500000000004,0.043625000000000136,0.06562500000000016,0.0661250000000001,0.023125000000000173,-0.05637499999999995,-0.272875,4.922233,1.165178,6.669308999999998,0.9558749999999999
1,A2058,ABT-888,0.018625000000000114,0.008625000000000105,0.0006250000000000977,-0.01837500000000003,0.004625000000000101,0.018625000000000114,-0.014375000000000027,-0.01837500000000003,4.919162,17.915201,16.300124,1.029375
2,A2058,AZD1775,0.21787499999999982,0.27037500000000003,0.24687499999999996,0.20237499999999997,0.09687500000000004,-0.08362499999999995,-0.31112500000000004,-0.639625,6.563621,2.94587,21.29719,0.785625
3,A2058,BEZ-235,0.2913125000000001,0.30281250000000015,0.28281250000000013,0.22181250000000008,0.08581250000000018,-0.3156874999999999,-0.3851874999999999,-0.4836874999999999,7.338862,0.945442,12.642111,0.7431874999999999
4,A2058,Bortezomib,0.2753749999999999,0.27037500000000003,0.232375,0.2713749999999999,0.28537499999999993,0.16937499999999994,-0.746625,-0.757625,8.172374000000001,6.735566,8.621811,0.775625
5,A2058,Carboplatin,0.09024999999999994,0.13424999999999998,0.09524999999999995,0.13124999999999987,0.12924999999999986,0.10424999999999995,-0.13375000000000004,-0.5507500000000001,4.565553,2.095338,21.858295,0.90375
6,A2058,Cyclophosphamide,0.0044999999999997264,-0.008500000000000174,-0.009500000000000286,-0.018500000000000183,0.025499999999999856,-0.006500000000000172,0.016499999999999737,-0.0035000000000002807,-1.253104,2.889123,8.414006,1.0345000000000002
7,A2058,Dasatinib,0.07381250000000006,0.07831250000000001,0.034812500000000024,-0.027687499999999865,-0.03418750000000004,-0.07218749999999996,-0.024687499999999973,-0.028187500000000032,0.14610499999999998,0.132224,15.646729999999998,0.9096875
8,A2058,Dexamethasone,-0.03112500000000007,-0.022125000000000172,0.004874999999999963,0.008874999999999966,0.0008749999999999591,0.001874999999999849,0.007874999999999854,0.028874999999999762,-1.253104,2.889123,14.855512,1.0991250000000001
9,A2058,Dinaciclib,0.1666249999999997,0.23262499999999975,0.21262499999999995,0.20962499999999984,0.1746249999999997,0.09862499999999985,-0.3313750000000002,-0.7633750000000002,7.9462350000000015,2.533473,20.897562,0.8363750000000002
