symbol,entrez
RBMX,27316
PACSIN1,29993
CDON,50937
TMEM216,51259
PIGT,51604
CNTN5,53942
CDHR2,54825
SLC6A15,55117
RIOK2,55781
PARD3,56288
TWNK,56652
RHBG,57127
VARS2,57176
SCAF4,57466
GPAM,57678
CHD8,57680
CCDC81,60494
NADK,65220
ZNF668,79759
MCMBP,79892
ZFP91,80829
DCSTAMP,81501
DOCK8,81704
NETO2,81831
VANGL1,81839
ITCH,83737
ZIC4,84107
ARID5B,84159
PLEKHA8,84725
NAV1,89796
IGFN1,91156
NUP210L,91181
MYOCD,93649
FBXO32,114907
FCRL1,115350
TM4SF18,116441
LOXHD1,125336
TSHZ2,128553
EVC2,132884
PTPDC1,138639
RBMXL3,139804
DPY19L3,147991
CREB3L4,148327
C2CD6,151254
CNTN4,152330
ZNF497,162968
RASSF6,166824
SLC39A12,221074
ALS2CL,259173
ASPM,259266
KANSL1,284058
ABCB5,340273
SBSN,374897
CCDC168,643677
CLEC19A,728276
ACO1,48
ADCY1,107
KLF5,688
CD1D,912
CDC25C,995
CDH2,1000
CDH12,1010
CHGA,1113
COL4A1,1282
CSNK2B,1460
S1PR1,1901
EPHA4,2043
EPHA5,2044
EPHB6,2051
ERF,2077
EVPL,2125
EZH1,2145
FAT2,2196
FGF5,2250
ADAM2,2515
GNA12,2768
GNB1,2782
LPAR4,2846
GRM1,2911
CFHR2,3080
HMGB1,3146
KPNB1,3837
MEF2D,4209
MAP3K4,4216
MYBL2,4605
NDUFB9,4715
NEDD4,4734
PCDH9,5101
CDK14,5218
PIK3C2A,5286
PIK3C3,5289
PIK3CG,5294
PRKCG,5582
MAP2K3,5606
PTN,5764
PTPN1,5770
RIT2,6014
RXRA,6256
SLC1A6,6511
SLC6A11,6538
SMARCA1,6594
SON,6651
SSB,6741
STIM1,6786
TAF11,6882
TEP1,7011
TGIF1,7050
TLR2,7097
TRPM2,7226
UBB,7314
UBE2A,7319
ZNF227,7770
YEATS4,8089
DNAH11,8701
RIPK1,8737
DLK1,8788
EIF2S2,8894
USP10,9100
CNOT9,9125
IL1RL1,9173
TRIP12,9320
URB2,9816
LRIG2,9860
ATP2C2,9914
BCL2L10,10017
CNKSR1,10256
ST3GAL6,10402
EMG1,10436
ARID3B,10620
MYL12A,10627
GNA13,10672
WASF3,10810
CD3EAP,10849
AKAP13,11214
SLITRK3,22865
PDZRN3,23024
WDTC1,23038
SWAP70,23075
EPB41L3,23136
RGL1,23179
SIN3B,23309
NCSTN,23385
ANKRD17,26057
SMC1B,27127
NMRK2,27231
CNTN6,27255
CDH19,28513
MRPL18,29074
USP25,29761
ZMYND10,51364
DDX41,51428
AZIN1,51582
CHPF2,54480
PCDH18,54510
NCAPG2,54892
ZWILCH,55055
CDKN2AIP,55602
KBTBD4,55709
ATF7IP,55729
PCDHB6,56130
CRTAM,56253
FMN2,56776
PRDM9,56979
ADAMTS9,56999
CCNL1,57018
KLHL8,57563
ZNF471,57573
CACHD1,57685
FBXO31,79791
POF1B,79983
EPC1,80314
GLT8D2,83468
WDR75,84128
GLIS2,84662
CREB3L3,84699
AJUBA,84962
HIST1H2BK,85236
FRMD7,90167
PCED1B,91523
IMP4,92856
CSMD2,114784
ACSM1,116285
H1FOO,132243
SPATA18,132671
SERPINA12,145264
GCSAML,148823
PPM1L,151742
GLIPR2,152007
ZNF595,152687
CCDC63,160762
ZCCHC12,170261
DNAH12,201625
RASGEF1A,221002
CDHR3,222256
TCP11L2,255394
NUDT14,256281
OR2L13,284521
FAM126B,285172
CFAP47,286464
BRINP3,339479
ZNF677,342926
WDR86,349136
APLNR,187
TRIM23,373
AREG,374
RHOB,388
ARSD,414
ATP2A2,488
ATP5F1B,506
ATP6V1B2,526
ADGRB3,577
CALD1,800
CD1B,910
CDKN2B,1030
CDX4,1046
COL6A3,1293
CSPG4,1464
DAO,1610
DHX9,1660
DSC3,1825
DSG1,1828
EPYC,1833
DUSP7,1849
EEF1A1,1915
EEF2,1938
CELSR3,1951
EPHA2,1969
CELA1,1990
ELAVL3,1995
EPHA1,2041
EPRS,2058
PTK2B,2185
FBN2,2201
FCER1A,2205
FGF2,2247
FOXE1,2304
FLG,2312
FYN,2534
GML,2765
GNA15,2769
GOT1,2805
GPR32,2854
GPS2,2874
GPX5,2880
GRB2,2885
ARHGAP35,2909
HDAC2,3066
HK3,3101
HNRNPU,3192
HSPA4,3308
IRF8,3394
FOXK2,3607
IRF2,3660
IRF7,3665
ITPKB,3707
ITPR3,3710
KCNA4,3739
KCNA6,3742
IPO5,3843
KRT13,3860
LAMC1,3915
LBP,3929
LGALS1,3956
LRP2,4036
LUM,4060
MAGEA1,4100
MMP13,4322
MSH3,4437
MSH5,4439
MSR1,4481
MTHFR,4524
MUC2,4583
MYT1,4661
NID1,4811
NKTR,4820
NMBR,4829
NOTCH4,4855
OXA1L,5018
PIK3C2B,5287
PIK3R2,5296
PLCG2,5336
PNN,5411
MED1,5469
PPP1R3A,5506
PRKCI,5584
PRKD1,5587
THAP12,5612
PRKX,5613
RELN,5649
HTRA1,5654
PTPRO,5800
RASA1,5921
RGS12,6002
RPS2,6187
SELP,6403
SEMG1,6406
SLC15A1,6564
SNRPA,6626
SPTA1,6708
SPTB,6710
STC1,6781
SYN2,6854
TDG,6996
TFAP4,7023
THBS1,7057
THBS2,7058
TLR4,7099
TLR5,7100
TNR,7143
TRAF6,7189
ZAN,7455
CLIP2,7461
WNT2,7472
XPNPEP2,7512
ZIC1,7545
ZIC3,7547
NRIP1,8204
FZD1,8321
HIST1H2AC,8334
HIST2H2AC,8338
HIST1H2BH,8345
HIST1H2BO,8348
CUL1,8454
OFD1,8481
CNTNAP1,8506
MAPKAPK5,8550
OR6A2,8590
DCHS1,8642
EIF3A,8661
TNFRSF10A,8797
IL18RAP,8807
STK19,8859
USP13,8975
SEMA5A,9037
FAM50A,9130
CCNB2,9133
MYOM2,9172
S1PR2,9294
KCNB2,9312
SLC9A3R1,9368
TMPRSS11D,9407
CHST10,9486
NFE2L3,9603
GNA14,9630
FGF19,9965
MED13,9969
FGFBP1,9982
SEMA3C,10512
CCNI,10983
SMG5,23381
HIKESHI,51501
NTN4,59277
PCNX4,64430
AHNAK,79026
FAM118B,79607
ZC3H12A,80149
NLRC5,84166
PDCD2L,84306
KNDC1,85442
OR2D2,120776
LRFN5,145581
FAAH2,158584
OTUD7A,161725
ADAMTS18,170692
NALCN,259232
ADGRD1,283383
PPM1J,333926
ANKRD36,375248
FAM72D,728833
ZFP36L2,678
CENPF,1063
HIST1H1C,3006
HIST1H1D,3007
HIST1H1E,3008
HIST1H1B,3009
HLA-B,3106
HOXA7,3204
HOXA10,3206
HES1,3280
HSPA1L,3305
IRS1,3667
LETM1,3954
MAGEA6,4105
MOS,4342
MYH4,4622
NFKBIA,4792
PFAS,5198
PRKAB2,5565
PTPN14,5784
RASGRF2,5924
RBBP6,5930
RELB,5971
RHEB,6009
RRAS,6237
SOS1,6654
TCHH,7062
TLL2,7093
TNFAIP6,7130
TRIO,7204
USH2A,7399
MKRN3,7681
BTG2,7832
PXDN,7837
ALMS1,7840
FZD3,7976
SMC3,9126
MAPK8IP1,9479
ADAMTS3,9508
ESPL1,9700
KMT2B,9757
TOX,9760
MAML1,9794
NUAK1,9891
ARNT2,9915
NCAPD2,9918
KBTBD11,9920
ZBTB5,9925
MAGEC1,9947
RANBP9,10048
ABCC9,10060
ABCF2,10061
GPC6,10082
ARPC1B,10095
G3BP1,10146
MRPS31,10240
AKAP8,10270
TLR6,10333
ABCA7,10347
KLF2,10365
NDC80,10403
TIMM17A,10440
CAP2,10486
IPO7,10527
SLCO1B1,10599
PAIP1,10605
TBR1,10716
SRCAP,10847
ACTL7B,10880
APOBEC2,10930
PNRC1,10957
SLC38A3,10991
WWP1,11059
AKAP11,11215
PXMP4,11264
PDAP1,11333
PHLDA1,22822
ZHX2,22882
SHANK2,22941
TPX2,22974
TTLL5,23093
KIF1B,23095
PLXND1,23129
ANKLE2,23141
TBC1D12,23232
KIAA1024,23251
NCAPD3,23310
SIRT4,23409
EDC4,23644
PPP1R15A,23645
NPAP1,23742
CFAP45,25790
SAMM50,25813
ARIH1,25820
HECTD1,25831
NIPBL,25836
TRIM58,25893
CCDC28A,25901
SAMHD1,25939
LRIG1,26018
CHD5,26038
SLITRK5,26050
OR2M4,26245
HSPB8,26353
SLC17A5,26503
LATS2,26524
BRPF3,27154
IL36A,27179
SIGLEC8,27181
UTP20,27340
PCLO,27445
DLL1,28514
ATAD2,29028
TBK1,29110
CARD10,29775
PCDHB1,29930
TRHDE,29953
BICRA,29998
PIK3R4,30849
COL5A3,50509
VILL,50853
IMPG2,50939
DBR1,51163
TLR7,51284
RXFP3,51289
WAC,51322
SNX7,51375
ACTL6B,51412
MAGEC2,51438
NOP58,51602
TLR9,54106
ERRFI1,54206
MRPS21,54460
INO80,54617
CC2D1A,54862
GPATCH4,54865
DNAAF5,54919
SSH3,54961
ZNF770,54989
PHIP,55023
SHQ1,55164
SMG8,55181
NUDT11,55190
KIAA1551,55196
SMU1,55234
UBA6,55236
LAPTM4B,55353
STYK1,55359
TRPV6,55503
SAGE1,55511
MAML3,55534
PLXNA3,55558
ITLN1,55600
MTMR8,55613
NUP133,55746
WDR12,55759
EXOC2,55770
PAG1,55824
CENPJ,55835
ASH1L,55870
KMT2E,55904
PDGFC,56034
PCDHB8,56128
DNAH7,56171
RNF20,56254
TRPV5,56302
METTL3,56339
CHPT1,56994
AKR1B10,57016
PAK5,57144
ATP10D,57205
USP31,57478
NLN,57486
ZNF608,57507
RTL9,57529
EP400,57634
H2AFV,94239
CCT8L2,150160
VPS13B,157680
AGO4,192670
PRB2,653247
AMY2B,280
BOK,666
GABRG1,2565
HIST1H2AD,3013
FOXA2,3170
NEFH,4744
PKHD1,5314
COL14A1,7373
HIST1H2BJ,8970
N4BP1,9683
ABCA10,10349
BTNL3,10917
ADAMTS6,11174
ATP10B,23120
SALL3,27164
P4HTM,54681
TDRD1,56165
ATP10A,57194
TSHZ3,57616
USP29,57663
PRX,57716
METTL14,57721
SPTBN4,57731
SLC4A5,57835
SAV1,60485
NEUROG2,63973
MYO1G,64005
CLSTN2,64084
SOX17,64321
XPO4,64328
CDH24,64403
CSMD1,64478
TRIM48,79097
DHX58,79132
GNPTAB,79158
IRX6,79190
ARMH3,79591
LRRK1,79705
ZFHX4,79776
AGBL2,79841
PROSER1,80209
DUSP16,80824
WNT5B,81029
TFAP2D,83741
HMCN1,83872
FSCB,84075
TKTL2,84076
SLC7A6OS,84138
SLITRK6,84189
C15orf48,84419
BRSK1,84446
MAP3K21,84451
PARD6B,84612
GPR174,84636
KIF2B,84643
CARD6,84674
TRIM51,84767
MICALCL,84953
RHPN2,85415
DISP2,85455
KLHL6,89857
ZNF804A,91752
DNER,92737
BPIFB1,92747
RP1L1,94137
FOXQ1,94234
SLC2A13,114134
GPRIN1,114787
STK11IP,114790
OMA1,115209
ALPK2,115701
MAS1L,116511
PIK3AP1,118788
LRRK2,120892
TMEM132D,121256
KRT222,125113
NLRP5,126206
CYP4F22,126410
MYOM3,127294
PROKR2,128674
OTOP1,133060
MROH2B,133558
C7orf31,136895
ZNF572,137209
GPAT4,137964
DCAF4L2,138009
TAF1L,138474
MAGEC3,139081
PASD1,139135
ADGRG4,139378
FOXR2,139628
ZSWIM3,140831
RAB40A,142684
TMEM199,147007
WIPF2,147179
ZNF362,149076
EXOC8,149371
SLC7A13,157724
TMTC3,160418
FAM171B,165215
C1QL2,165257
RNF168,165918
COL22A1,169044
SNX31,169166
HTR3C,170572
UBR1,197131
FUK,197258
NRK,203447
ZNF804B,219578
RSBN1L,222194
RFX6,222546
C8orf46,254778
RASGEF1C,255426
PAN3,255967
DDX51,317781
KRTAP13-3,337960
TAS2R60,338398
SYT10,341359
AQP12A,375318
MAFA,389692
ALOX12,239
ANK2,287
CACNA1C,775
CACNA1E,777
CACNA2D1,781
CHD3,1107
CNGA4,1262
CSH1,1442
CSNK2A1,1457
DIAPH2,1730
DMD,1756
GPR183,1880
EGR2,1959
MARK2,2011
HLA-DRB1,3123
HNF4A,3172
HNRNPK,3190
IGF1R,3480
INSR,3643
KEL,3792
LAMA2,3908
LAMA3,3909
NR3C2,4306
CD200,4345
TRIM37,4591
NBL1,4681
NDUFV2,4729
PCSK6,5046
PAX2,5076
PEG3,5178
PI4KA,5297
PLCB4,5332
PLEC,5339
PRKCZ,5590
RPS13,6207
RPS15,6209
RPS27,6232
RYR2,6262
SPN,6693
TMSB4X,7114
TRAF5,7188
TUBA3C,7278
ZNF28,7576
ZNF99,7652
ZNF208,7757
ZNF226,7769
RNF103,7844
BRPF1,7862
FXR1,8087
USP9X,8239
HIST1H2AL,8332
HIST1H2AM,8336
HIST1H2BG,8339
HIST1H2BF,8343
HIST1H2BE,8344
HIST1H2BC,8347
HIST1H3D,8351
HIST1H3C,8352
HIST1H3G,8355
HIST1H3H,8357
HIST1H4D,8360
HIST1H4H,8365
HIST1H4B,8366
HIST1H4E,8367
CACNA1H,8912
HIST1H2AG,8969
KALRN,8997
IFT140,9742
NRG3,10718
ADGRL1,22859
KDM1A,23028
CYFIP1,23191
MTUS2,23281
SMG6,23293
SYNE1,23345
ZNF658,26149
ZNF638,27332
KLHL5,51088
TSPEAR,54084
UACA,55075
NBPF1,55672
RADIL,55698
ERBIN,55914
CELF4,56853
RPTOR,57521
CREBZF,58487
ARHGAP28,79822
CNTNAP3,79937
TRPM3,80036
HORMAD1,84072
KDM2B,84678
KRTAP4-5,85289
SORCS1,114815
SFXN4,119559
FRMPD2,143162
PIK3R6,146850
TTLL9,164395
FYB2,199920
VMA21,203547
TXNDC8,255220
NPNT,255743
CD163L1,283316
POTED,317754
FREM2,341640
C10orf113,387638
TMEM220,388335
NOTCH2NL,388677
FAM166A,401565
VCX3B,425054
KRTAP5-5,439915
PTCHD4,442213
CBWD3,445571
ZG16,653808
MEF2B,100271849
ACVR2B,93
ACAN,176
ANK3,288
AOX1,316
ASTN1,460
KIF1A,547
DST,667
CCKBR,887
CD58,965
CHD1,1105
CLK3,1198
COL11A1,1301
CPS1,1373
DMXL1,1657
DLG3,1741
DTNA,1837
DUSP9,1852
PHC2,1912
EGR3,1960
ELAVL2,1993
EYA4,2070
ESRRG,2104
ETS1,2113
GPS1,2873
RAPGEF1,2889
SLC29A2,3177
HSPG2,3339
INPP4A,3631
LTK,4058
LYN,4067
MGAT3,4248
MAP3K9,4293
MST1R,4486
MYBL1,4603
PCSK5,5125
PFKP,5214
PIK3C2G,5288
POU2F2,5452
PRKCQ,5588
MAP2K7,5609
PTK2,5747
PTPN2,5771
REV3L,5980
SCN10A,6336
SOX5,6660
SPTAN1,6709
AURKA,6790
TAF1,6872
TCF7,6932
TCP11,6954
TLE1,7088
TLE4,7091
TNFRSF1B,7133
TRPS1,7227
VEZF1,7716
ZNF180,7733
USP7,7874
DYSF,8291
LTBP4,8425
CUL4B,8450
LATS1,9113
SYNGR2,9144
DGKI,9162
SLIT2,9353
NRXN3,9369
MED23,9439
GAL3ST1,9514
PLCH2,9651
RIMS2,9699
PPP6R2,9701
ULK2,9706
HDAC9,9734
ARHGAP32,9743
CTIF,9811
CUL7,9820
CEP170,9859
MAGI2,9863
SETDB1,9869
DLEC1,9940
BCL2L11,10018
PTPRU,10076
RASGRP2,10235
ATG7,10533
CAMKK2,10645
FTCD,10841
BRD8,10902
TCERG1,10915
BTN3A2,11118
BAZ2A,11176
IKZF2,22807
ANKRD26,22852
TRAK1,22906
LIMCH1,22998
HECW1,23072
CLASP2,23122
PASK,23178
ADGRL2,23266
MGA,23269
ADGRL3,23284
CLASP1,23332
ADNP,23394
CRB1,23418
PHF3,23469
CABIN1,23523
AHCTF1,25909
RTTN,25914
CHMP2B,25978
SNED1,25992
SACS,26278
PGAP2,27315
TNRC6A,27327
PCDH11X,27328
BRD7,29117
DDX25,29118
CTNNA3,29119
BAZ2B,29994
SCAPER,49855
TBX22,50945
ZBTB7B,51043
PLCE1,51196
ZBTB7A,51341
UCHL5,51377
HDAC7,51564
SRRT,51593
ADAM22,53616
SSH1,54434
XRN1,54464
HYDIN,54768
RNF111,54778
BNC2,54796
CASZ1,54897
ACOXL,55289
KIF27,55582
KIF21A,55605
PPP1R9A,55607
KIF16B,55614
CHD7,55636
CCDC88A,55704
HHAT,55733
TRERF1,55809
TEX14,56155
STK31,56164
ADCK1,57143
ADAMTSL3,57188
SLC4A10,57282
HECW2,57520
SORCS2,57537
LRRC7,57554
ZNF687,57592
PITPNM2,57605
USP28,57646
FANCM,57697
CDH23,64072
PAPD5,64282
GORASP1,64689
PORCN,64840
WNK1,65125
TMEM243,79161
CCDC102B,79839
PODNL1,79883
CEP76,79959
CHD9,80205
SPHKAP,80309
ADAMTS12,81792
SNX25,83891
OBSCN,84033
ZRANB3,84083
LRRIQ1,84125
FLYWCH1,84256
ADGRA1,84435
ABLIM2,84448
COL25A1,84570
GLYR1,84656
MYO18B,84700
CFAP74,85452
BOC,91653
CDHR1,92211
TMEM132B,114795
GALNT13,114805
RAB42,115273
MED12L,116931
DACH2,117154
SEPT12,124404
TDRD10,126668
COL6A6,131873
UNC5D,137970
ASB15,142685
CFAP54,144535
DNAH2,146754
PLB1,151056
BTLA,151888
AMOTL1,154810
PRUNE2,158471
MIER3,166968
LCTL,197021
TET3,200424
SCUBE3,222663
SERHL2,253190
ZNF620,253639
ST6GALNAC3,256435
SHPRH,257218
MAMSTR,284358
SIRPB2,284759
IGSF10,285313
LRRC37A3,374819
PNPLA7,375775
SNX19,399979
PARP4,143
AMPH,273
COL9A2,1298
COL12A1,1303
DACH1,1602
DGKA,1606
DNAH5,1767
DNAH9,1770
DUSP2,1844
DYRK1A,1859
EPHB1,2047
EPHB4,2050
STX2,2054
BPTF,2186
FOLH1,2346
HIST1H2BD,3017
HIVEP1,3096
HSF1,3297
RBPJ,3516
IL13RA1,3597
INPPL1,3636
ITGAE,3682
KRT15,3866
LLGL1,3996
LRP1,4035
MAP3K5,4217
MEP1A,4224
MST1,4485
MYO9A,4649
NCAM2,4685
NR4A2,4929
PDE6G,5148
PLXNA2,5362
POLRMT,5442
MAPK7,5598
PRSS1,5644
PTGFRN,5738
PTMA,5757
RPS6KA3,6197
SCN9A,6335
SPTBN2,6712
TFDP1,7027
TPO,7173
TRAF2,7186
ZNF217,7764
CHST1,8534
KMO,8564
KHSRP,8570
CDK13,8621
UNC5C,8633
ADAM7,8756
HERC1,8925
MGAM,8972
TRPA1,8989
NRXN2,9379
GRHPR,9380
AKAP6,9472
CDC42BPB,9578
PDIA4,9601
MDC1,9656
DOCK4,9732
ZNF536,9745
FRMPD4,9758
RAPGEF5,9771
DENND4B,9909
UBA2,10054
HUWE1,10075
PATJ,10207
CPQ,10404
TXNIP,10628
LILRB1,10859
EDAR,10913
SCN11A,11280
DHX30,22907
WDFY3,23001
MAST3,23031
PDZD2,23037
PDXDC1,23042
PDS5B,23047
SMG1,23049
MYCBP2,23077
CUL9,23113
ATG2A,23130
ZZEF1,23140
RFTN1,23180
SYNE2,23224
MACF1,23499
RIMBP2,23504
PLXNB2,23654
APOL2,23780
MXRA5,25878
DNAH1,25981
TBC1D29,26083
DAZAP1,26528
PDE7B,27115
RSPH14,27156
SULT1B1,27284
SHANK1,50944
MLXIPL,51085
SPTBN5,51332
ODAM,54959
CDC42BPG,55561
ALLC,55821
TEX15,56154
PDSS2,57107
ZMIZ1,57178
SHROOM3,57619
DDX55,57696
EPG5,57724
ZNF462,58499
PIEZO2,63895
TSPYL2,64061
ABCG8,64241
SMURF2,64750
BRCC3,79184
UGT2A3,79799
ADAMTS20,80070
ASXL3,80816
FAM117A,81558
EPPK1,83481
ADGRV1,84059
CHD6,84181
WDR24,84219
DOT1L,84444
PAPLN,89932
FANK1,92565
SHKBP1,92799
PKHD1L1,93035
CFAP70,118491
WDR64,128025
CNTNAP5,129684
UBR3,130507
ABCA13,154664
SYNE3,161176
C6orf118,168090
ADAMTS17,170691
ANKRD24,170961
KHDRBS2,202559
TBC1D32,221322
KDM1B,221656
MMS22L,253714
TMCO4,255104
TAB3,257397
OTOGL,283310
SLC9C2,284525
OVCH1,341350
KCTD8,386617
RNF207,388591
TBC1D3B,414059
ALDH2,217
APC,324
AR,367
ARHGAP5,394
ATM,472
ATP1A1,476
ATRX,546
BCL2,596
BCL7A,605
BLM,641
BRCA2,675
BTK,695
CARS,833
RUNX1,861
CCNC,892
CD79B,974
CDK4,1019
CDKN1A,1026
COL1A1,1277
COL3A1,1281
CSF3R,1441
CYP2C8,1558
DDB2,1643
DNM2,1785
ELN,2006
ERBB2,2064
ERBB3,2065
ERCC2,2068
ESR1,2099
EXT1,2131
FANCC,2176
FANCD2,2177
FBLN2,2199
FH,2271
GATA3,2625
GRM3,2913
MSH6,2956
HOXA13,3209
HOXD13,3239
HSP90AA1,3320
IL2,3558
KCNJ5,3762
KLK2,3817
SMAD2,4087
MITF,4286
MLH1,4292
MTCP1,4515
MUC1,4582
MYCL,4610
NBN,4683
NF2,4771
NTRK1,4914
DDR2,4921
PAX3,5077
PMS1,5378
SEPT5,5413
PTCH1,5727
RPL5,6125
RPL22,6146
SS18,6760
HNF1A,6927
TGFBR2,7048
TP53,7157
TSC1,7248
TSHR,7253
VHL,7428
WRN,7486
WT1,7490
XPA,7507
ZBTB16,7704
PRDM2,7799
CXCR4,7852
SPOP,8405
HERPUD1,9709
