symbol,entrez
A1BG ,1
NAT2 ,10
ADA ,100
CDH2 ,1000
AKT3 ,10000
MED6 ,10001
NR2E3 ,10002
NAALAD2 ,10003
DUXB ,100033411
PDZK1P1 ,100034743
DDTL ,100037417
NAALADL1 ,10004
GUSBP9,100049076
GUSBP9,100653061
GUSBP9,11042
GUSBP9,387036
GUSBP9,653188
GUSBP9,100049076
GUSBP9,100653061
GUSBP9,11042
GUSBP9,387036
GUSBP9,653188
GUSBP9,100049076
GUSBP9,100653061
GUSBP9,11042
GUSBP9,387036
GUSBP9,653188
GUSBP9,100049076
GUSBP9,100653061
GUSBP9,11042
GUSBP9,387036
GUSBP9,653188
GUSBP9,100049076
GUSBP9,100653061
GUSBP9,11042
GUSBP9,387036
GUSBP9,653188
LOC100653061,100049076
LOC100653061,100653061
LOC100653061,11042
LOC100653061,387036
LOC100653061,653188
LOC100653061,100049076
LOC100653061,100653061
LOC100653061,11042
LOC100653061,387036
LOC100653061,653188
LOC100653061,100049076
LOC100653061,100653061
LOC100653061,11042
LOC100653061,387036
LOC100653061,653188
LOC100653061,100049076
LOC100653061,100653061
LOC100653061,11042
LOC100653061,387036
LOC100653061,653188
LOC100653061,100049076
LOC100653061,100653061
LOC100653061,11042
LOC100653061,387036
LOC100653061,653188
SMA5,100049076
SMA5,100653061
SMA5,11042
SMA5,387036
SMA5,653188
SMA5,100049076
SMA5,100653061
SMA5,11042
SMA5,387036
SMA5,653188
SMA5,100049076
SMA5,100653061
SMA5,11042
SMA5,387036
SMA5,653188
SMA5,100049076
SMA5,100653061
SMA5,11042
SMA5,387036
SMA5,653188
SMA5,100049076
SMA5,100653061
SMA5,11042
SMA5,387036
SMA5,653188
GUSBP2,100049076
GUSBP2,100653061
GUSBP2,11042
GUSBP2,387036
GUSBP2,653188
GUSBP2,100049076
GUSBP2,100653061
GUSBP2,11042
GUSBP2,387036
GUSBP2,653188
GUSBP2,100049076
GUSBP2,100653061
GUSBP2,11042
GUSBP2,387036
GUSBP2,653188
GUSBP2,100049076
GUSBP2,100653061
GUSBP2,11042
GUSBP2,387036
GUSBP2,653188
GUSBP2,100049076
GUSBP2,100653061
GUSBP2,11042
GUSBP2,387036
GUSBP2,653188
GUSBP3 ,100049076
GUSBP3 ,100653061
GUSBP3 ,11042
GUSBP3 ,387036
GUSBP3 ,653188
GUSBP3 ,100049076
GUSBP3 ,100653061
GUSBP3 ,11042
GUSBP3 ,387036
GUSBP3 ,653188
GUSBP3 ,100049076
GUSBP3 ,100653061
GUSBP3 ,11042
GUSBP3 ,387036
GUSBP3 ,653188
GUSBP3 ,100049076
GUSBP3 ,100653061
GUSBP3 ,11042
GUSBP3 ,387036
GUSBP3 ,653188
GUSBP3 ,100049076
GUSBP3 ,100653061
GUSBP3 ,11042
GUSBP3 ,387036
GUSBP3 ,653188
SIGLEC14 ,100049587
ACOT8 ,10005
ABI1 ,10006
GNPDA1 ,10007
KCNE3 ,10008
ZBTB33 ,10009
GTF2IP4,100093631
GTF2IP4,2970
GTF2IP4,100093631
GTF2IP4,2970
GTF2IP1 ,100093631
GTF2IP1 ,2970
GTF2IP1 ,100093631
GTF2IP1 ,2970
CDH3 ,1001
TANK ,10010
POM121C ,100101267
PMS2P7 ,100101440
LOC100101478,100101478
LOC100101478,767811
LOC100101478,100101478
LOC100101478,767811
H2BFXP ,100101478
H2BFXP ,767811
H2BFXP ,100101478
H2BFXP ,767811
TMEM170B ,100113407
FAM86JP,100125556
FAM86JP,55199
FAM86JP,653113
FAM86JP,100125556
FAM86JP,55199
FAM86JP,653113
FAM86JP,100125556
FAM86JP,55199
FAM86JP,653113
FAM86C1,100125556
FAM86C1,55199
FAM86C1,653113
FAM86C1,100125556
FAM86C1,55199
FAM86C1,653113
FAM86C1,100125556
FAM86C1,55199
FAM86C1,653113
FAM86FP ,100125556
FAM86FP ,55199
FAM86FP ,653113
FAM86FP ,100125556
FAM86FP ,55199
FAM86FP ,653113
FAM86FP ,100125556
FAM86FP ,55199
FAM86FP ,653113
EGOT ,100126791
LOC100128076 ,100128076
CTAGE4 ,100128553
CDC42P3 ,100128627
ZBTB42 ,100128927
LOC100129055 ,100129055
SLC39A12-AS1,100129213
SLC39A12-AS1,389834
SLC39A12-AS1,100129213
SLC39A12-AS1,389834
LOC389834 ,100129213
LOC389834 ,389834
LOC389834 ,100129213
LOC389834 ,389834
LINC01160,100129269
LINC01160,105379331
LINC01160,107984772
LINC01160,346653
LINC01160,100129269
LINC01160,105379331
LINC01160,107984772
LINC01160,346653
LINC01160,100129269
LINC01160,105379331
LINC01160,107984772
LINC01160,346653
LINC01160,100129269
LINC01160,105379331
LINC01160,107984772
LINC01160,346653
LOC105379331,100129269
LOC105379331,105379331
LOC105379331,107984772
LOC105379331,346653
LOC105379331,100129269
LOC105379331,105379331
LOC105379331,107984772
LOC105379331,346653
LOC105379331,100129269
LOC105379331,105379331
LOC105379331,107984772
LOC105379331,346653
LOC105379331,100129269
LOC105379331,105379331
LOC105379331,107984772
LOC105379331,346653
LOC107984772,100129269
LOC107984772,105379331
LOC107984772,107984772
LOC107984772,346653
LOC107984772,100129269
LOC107984772,105379331
LOC107984772,107984772
LOC107984772,346653
LOC107984772,100129269
LOC107984772,105379331
LOC107984772,107984772
LOC107984772,346653
LOC107984772,100129269
LOC107984772,105379331
LOC107984772,107984772
LOC107984772,346653
FAM71F2 ,100129269
FAM71F2 ,105379331
FAM71F2 ,107984772
FAM71F2 ,346653
FAM71F2 ,100129269
FAM71F2 ,105379331
FAM71F2 ,107984772
FAM71F2 ,346653
